Name;Country 1;Country 2;Country 3;Country 4
Paolo Boi;Italy;;;
Jácobo Bolbochán;Argentina;;;
Julio Bolbochán;Argentina;;;
Isaac Boleslavsky;Ukraine;;;
Victor Bologan;Moldova;;;
Igor Bondarevsky;Russia;;;
Eero Böök;Finland;;;
Tea BosboomLanchava;Netherlands;Georgia;;
Johannes van den Bosch;Netherlands;;;
George Botterill;England;Wales;;
Mikhail Botvinnik;Russia;;;
LouisCharles Mahé de La Bourdonnais;France;;;
César Boutteville;Vietnam;France;;
Olena Boytsun;Ukraine;;;
Julius Brach;Czechoslovakia;;;
Gyula Breyer;Hungary;;;
Alfred Brinckmann;Germany;;;
Mirko Bröder;Hungary;Serbia;;
Miklós Bródy;Hungary;Romania;;
Vladimir Bron;Ukraine;;;
David Bronstein;Ukraine;;;
Walter Browne;Australia;USA;;
Agnieszka Brustman;Poland;;;
Lázaro Bruzón;Cuba;;;
Stellan Brynell;Sweden;;;
Bu Xiangzhi;China;;;
Henry Thomas Buckle;England;;;
Gerardo Budowski;Germany;France;Venezuela;Costa Rica
Wincenty Budzyński;Poland;France;;
Constant Ferdinand Burille;France;USA;;
Amos Burn;England;;;
Algimantas Butnorius;Lithuania;;;
Elisabeth Bykova;Russia;;;
Donald Byrne;USA;;;
Robert Byrne;USA;;;
Elisabeth Bykova;Russia;;;
Florencio Campomanes;Philippines;;;
Daniel Hugo Cámpora;Argentina;;;
Esteban Canal;Peru;Italy;;
Arianne Caoili;Australia;;;
José Raúl Capablanca;Cuba;;;
Rodolfo Tan Cardoso;Philippines;;;
Ruth Volgl Cardoso;Brazil;;;
Carl Carls;Germany;;;
Magnus Carlsen;Norway;;;
Pontus Carlsson;Sweden;;;
Horatio Caro;England;Germany;;
Berna Carrasco;Chile;;;
Pietro Carrera;Sicily;;;
Fabiano Caruana;Dual citizenship: USA and Italy;;;
Vincenzo Castaldi;Italy;;;
Mariano Castillo;Chile;;;
Mišo Cebalo;Croatia;;;
Giovanni Cenni;Italy;;;
Alfonso Ceron;Spain;;;
Oscar Chajes;Ukraine;Austria;USA;
Ferenc Chalupetzky;Hungary;;;
Edward Chamier;England;France;;
Chan Peng Kong;Singapore;;;
Sandipan Chanda;India;;;
Chang Tung Lo;China;;;
Murray Chandler;New Zealand;England;;
Pascal Charbonneau;Canada;;;
Rudolf Charousek;Hungary;;;
Chantal Chaudé de Silans;France;;;
Valery Chekhov;Russia;;;
Vitaly Chekhover;Russia;;;
Chen De;China;;;
Ivan Cheparinov;Bulgaria;;;
Alexander Cherepkov;Russia;;;
Irving Chernev;Russia;USA;;
Alexander Chernin;Ukraine;Hungary;;
Konstantin Chernyshov;Russia;;;
André Chéron;France;;;
Maia Chiburdanidze;Georgia;;;
Mikhail Chigorin;Russia;;;
Larry Christiansen;USA;;;
Vladimir Chuchelov;Russia;Belgium;;
Slavko Cicak;Montenegro;Sweden;;
Roberto Cifuentes;Chile;Netherlands;Spain;
Victor Ciocâltea;Romania;;;
Hermann Clemenz;Estonia;;;
Albert Clerc;France;;;
Viktorija Čmilytė;Lithuania;;;
John Cochrane;England;;;
Erich Cohn;Germany;;;
Wilhelm Cohn;Germany;;;
Edgard Colle;Belgium;;;
John W. Collins;USA;;;
Eugene Ernest Colman;England;;;
Adrián García Conde;Mexico;England;;
Stuart Conquest;England;;;
Anya Corke;England;Hong Kong;;
Nicolaas Cortlever;Netherlands;;;
Juan Corzo;Cuba;;;
Carlo Cozio;Italy;;;
Spencer Crakanthorp;Australia;;;
Pia Cramling;Sweden;;;
Robert Crépeaux;France;;;
Walter Cruz;Brazil;;;
István Csom;Hungary;;;
Miguel Cuéllar;Colombia;;;
Josef Cukierman;Poland;France;;
John Curdo;USA;;;
Ognjen Cvitan;Croatia;;;
Hieronim Czarnowski;Poland;France;Austria;Hungary
Moshe Czerniak;Poland;Israel;;
Arthur Dake;USA;;;
Pedro Damiano;Portugal;;;
Mato Damjanović;Croatia;;;
Gösta Danielsson;Sweden;;;
Silvio Danailov;Bulgaria;;;
A. Polak Daniels;Netherlands;;;
Dawid Daniuszewski;Poland;;;
Klaus Darga;Germany;;;
Alberto David;Luxembourg;;;
Jacques Davidson;Netherlands;;;
Nigel Davies;England;;;
Boris De Greiff;Colombia;;;
Frederic Deacon;Belgium;;;
Chakkravarthy Deepan;India;;;
Nick de Firmian;USA;;;
Marigje Degrande;Belgium;;;
Aleksander Delchev;Bulgaria;;;
Eugene Delmar;USA;;;
Yelena Dembo;Russia;Israel;Hungary;Greece
Arnold Denker;USA;;;
Alexandre Deschapelles;France;;;
Andrei Deviatkin;Russia;;;
Paul Devos;Belgium;;;
André Diamant;Brazil;;;
Emil Josef Diemer;Germany;;;
Mark Diesen;USA;;;
Julius Dimer;Germany;;;
Nathan Divinsky;Canada;;;
Rune Djurhuus;Norway;;;
Maxim Dlugy;Russia;USA;;
Josef Dobiáš;Bohemia;Czechoslovakia;;
Yosef Dobkin;Russia;Israel;;
Yury Dokhoian;Russia;;;
Sergey Dolmatov;Russia;;;
Lenier Dominguez;Cuba;;;
Józef Dominik;Poland;;;
Zadok Domnitz;Israel;;;
Elena Donaldson;Russia;Georgia;USA;
John W. Donaldson;USA;;;
Ivo Donev;Austria;;;
Jan Hein Donner;Netherlands;;;
Iossif Dorfman;Ukraine;France;;
Alexey Dreev;Russia;;;
Leonids Dreibergs;Latvia;USA;;
Kurt Dreyer;Germany;South Africa;;
Tihomil Drezga;Croatia;USA;;
Yuri Drozdovskij;Ukraine;;;
Leroy Dubeck;USA;;;
Serafino Dubois;Italy;;;
Daniil Dubov;Russia;;;
Andreas Dückstein;Hungary;Austria;;
Jean Dufresne;Germany;;;
Andreas Duhm;Germany;Switzerland;;
Dietrich Duhm;Germany;Switzerland;;
Hans Duhm;Germany;Switzerland;;
Arthur Dunkelblum;Poland;Belgium;;
Oldřich Duras;Bohemia;Czechoslovakia;;
Fyodor DuzKhotimirsky;Ukraine;;;
Mark Dvoretsky;Russia;;;
Joanna Dworakowska;Poland;;;
Eduard Dyckhoff;Germany;;;
Viacheslav Dydyshko;Belarus;;;
Boruch Israel Dyner;Poland;Belgium;Israel;
Semen Dvoirys;Russia;;;
Nana Dzagnidze;Georgia;;;
Roman Dzindzichashvili;Georgia;Israel;USA;
Marat Dzhumaev;Uzbekistan;;;
James Eade;USA;;;
Zahar Efimenko;Ukraine;;;
Marsel Efroimski;Israel;;;
Jaan Ehlvest;Estonia;;;
Rakhil Eidelson;Belarus;;;
Vereslav Eingorn;Ukraine;;;
Louis Eisenberg;Ukraine;USA;;
Bengt Ekenberg;Sweden;;;
Folke Ekström;Sweden;;;
Erich Eliskases;Austria;Germany;Argentina;
Pavel Eljanov;Ukraine;;;
Moissei Eljaschoff;Lithuania;;;
John Emms;England;;;
Lucijs Endzelins;Estonia;Latvia;Australia;
Jens Enevoldsen;Denmark;;;
Ludwig Engels;Germany;Brazil;;
Berthold Englisch;Austria;;;
David Enoch;Israel;;;
Vladimir Epishin;Russia;;;
Stefan Erdélyi;Hungary;Romania;;
Hanna Ereńska;Poland;;;
Evgenij Ermenkov;Bulgaria;Palestine;;
Wilhelm Ernst;Germany;;;
John Angus Erskine;New Zealand;Australia;;
Yakov Estrin;Russia;;;
Max Euwe;Netherlands;;;
Larry Evans;USA;;;
William Davies Evans;Wales;;;
Alexander Evensohn;Ukraine;;;
Győző Exner;Hungary;;;
Samuel Factor;Poland;USA;;
Louisa Matilda Fagan;Italy;England;;
Hugo Fähndrich;Hungary;Austria;;
Hans Fahrni;Bohemia;Switzerland;;
William Fairhurst;England;Scotland;New Zealand;
Sammi Fajarowicz;Germany;;;
Raphael Falk;Russia;;;
Ernst Falkbeer;Austria;Hungary;;
Stefan Fazekas;Hungary;Czechoslovakia;England;
Sergey Fedorchuk;Ukraine;;;
Alexei Fedorov;Belarus;;;
John Fedorowicz;USA;;;
Vladimir Fedoseev;Russia;;;
Movsas Feigins;Latvia;Argentina;;
Rafał Feinmesser;Poland;;;
Florin Felecan;Romania;USA;;
Virgilio Fenoglio;Argentina;;;
Arthur Feuerstein;USA;;;
Alexandr Fier;Brazil;;;
Martha Fierro;Ecuador;;;
Miroslav Filip;Czech Republic;;;
Anton Filippov;Uzbekistan;;;
Reuben Fine;USA;;;
Ben Finegold;USA;;;
Julius Finn;Poland;USA;;
Nick de Firmian;USA;;;
Robert James Fischer;USA;Iceland;;
Alex Fishbein;USA;;;
Alexander Flamberg;Poland;;;
Alfred Flatow;Germany;Australia;;
Glenn Flear;England;;;
Ernst Flechsig;Germany;;;
Bernhard Fleissig;Hungary;Austria;;
Max Fleissig;Hungary;Austria;;
János Flesch;Hungary;;;
Salo Flohr;Ukraine;Czechoslovakia;Russia;
Rodrigo Flores;Chile;;;
Alberto Foguelman;Argentina;;;
Jan Foltys;Czechoslovakia;;;
George Salto Fontein;Netherlands;;;
Arnold van Foreest;Netherlands;;;
Dirk van Foreest;Netherlands;;;
Leó Forgács;Hungary;;;
Győző Forintos;Hungary;;;
Albert Fox;USA;;;
Maurice Fox;Ukraine;Canada;;
Selim Franklin;England;USA;;
Zenon Franco;Paraguay;;;
Michael Freeman;England;New Zealand;;
Laurent Fressinet;France;;;
Sergey von Freymann;Russia;Uzbekistan;;
Joel Fridlizius;Sweden;;;
Daniel Fridman;Latvia;Germany;;
Frederic Friedel;Germany;;;
Gunnar Friedemann;Estonia;;;
David Friedgood;South Africa;England;;
Henryk Friedman;Poland;;;
Alexander Fritz;Germany;;;
Martin Severin From;Denmark;;;
Achilles Frydman;Poland;;;
Paulino Frydman;Poland;Argentina;;
Ľubomír Ftáčnik;Czechoslovakia;Slovakia;;
Andrija Fuderer;Vojvodina;Belgium;;
Semyon Furman;Russia;;;
Ivana Maria Furtado;India;;;
Géza Füster;Hungary;Canada;;
Roy Fyllingen;Norway;;;
Merab Gagunashvili;Georgia;;;
Aleksandr Galkin;Russia;;;
Joseph Gallagher;England;Switzerland;;
Alisa Galliamova;Russia;;;
Surya Shekhar Ganguly;India;;;
Nona Gaprindashvili;Georgia;;;
Valeriane Gaprindashvili;Georgia;;;
Carlos Garcia Palermo;Argentina;Italy;;
Raimundo Garcia;Argentina;;;
Timur Gareev;Uzbekistan;;;
Eldar Gasanov;Ukraine;;;
Vugar Gashimov;Azerbaijan;;;
Anna Gasik;Poland;;;
Einar Gausel;Norway;;;
Viktor Gavrikov;Lithuania;Switzerland;;
Tamaz Gelashvili;Georgia;;;
Boris Gelfand;Belarus;Israel;;
Efim Geller;Ukraine;;;
Uzi Geller;Israel;;;
Petar Genov;Bulgaria;;;
Kiril Georgiev;Bulgaria;;;
Krum Georgiev;Bulgaria;;;
Ernő Gereben;Hungary;Switzerland;;
Regina Gerlecka;Poland;;;
Eugenio German;Brazil;;;
Theodor Germann;Latvia;;;
Alik Gershon;Israel;;;
Edward Gerstenfeld;Poland;Ukraine;;
Georgy Geshev;Bulgaria;;;
Ehsan Ghaem Maghami;Iran;;;
Tigran Gharamian;France;;;
Ameet Ghasi;England;;;
Florin Gheorghiu;Romania;;;
Amédée Gibaud;France;;;
Johannes Giersing;Denmark;;;
Ellen Gilbert;USA;;;
Jessie Gilbert;England;;;
Karl Gilg;Czechoslovakia;Germany;;
Aivars Gipslis;Latvia;;;
Anish Giri;Holland;;;
Matteo Gladig;Italy;;;
Eduard Glass;Austria ;;;
Evgeny Gleizerov;Russia;;;
Igor Glek;Russia;Germany;;
Svetozar Gligorić;Serbia;;;
Fernand Gobet;Switzerland;;;
Michele Godena;Italy;;;
Carl Goering;Germany;;;
Alphonse Goetz;France;;;
Leonid Gofshtein;Israel;;;
Jason Goh KoonJong;Singapore;;;
Goh Weiming;Singapore;;;
Samuel Gold;Hungary;Austria;USA;
Alexander Goldin;Russia;;;
Rusudan Goletiani;Georgia;USA;;
Celso Golmayo Torriente;Cuba;Spain;;
Celso Golmayo Zúpide;Spain;Cuba;;
Manuel Golmayo Torriente;Cuba;Spain;;
Vitali Golod;Ukraine;Israel;;
Harry Golombek;England;;;
Alexander Goloshchapov;Ukraine;;;
Alexander Ferdinand von der Goltz;Germany;;;
Valentina Golubenko;Estonia;Croatia;;
Mikhail Golubev;Ukraine;;;
Aleksei Goncharov;Russia;;;
Gong Qianyun;China;;;
Jayson Gonzales;Philippines;;;
José González García;Mexico;;;
Juan Carlos González Zamora;Mexico;;;
David S. Goodman;England;USA;;
Stephen J. Gordon;England;;;
Danny Gormally;England;;;
George H. D. Gossip;USA;England;;
Solomon Gotthilf;Russia;;;
Hermann von Gottschall;Germany;;;
Boris Grachev;Russia;;;
Alexander Graf;Uzbekistan;Germany;;
Sonja Graf;Germany;Argentina;USA;
Julio Granda Zuniga;Peru;;;
Roberto Grau;Argentina;;;
Gioachino Greco;Italy;;;
Ewen McGowen Green;New Zealand;;;
Alon Greenfeld;USA;Israel;;
John Grefe;USA;;;
Bernhard Gregory;Estonia;Germany;;
Gisela Kahn Gresser;USA;;;
Helgi Gretarsson;Iceland;;;
Richard Griffith;England;;;
Nikolay Grigoriev;Russia;;;
Avetik Grigoryan;Armenia;;;
Vincent Grimm;Austria;Hungary;;
Alexander Grischuk;Russia;;;
Efstratios Grivas;Greece;;;
Henri Grob;Switzerland;;;
Aristide Gromer;France;;;
Adriaan de Groot;Netherlands;;;
Ernst Grünfeld;Austria;;;
Yehuda Gruenfeld;Poland;Israel;;
James Grundy;England;USA;;
Izaak Grynfeld;Poland;Israel;;
Gu Xiaobing;China;;;
Ion Gudju;Romania;;;
Eduard Gufeld;Ukraine;USA;;
Ilse Guggenberger;Colombia;;;
Carlos Guimard;Argentina;;;
Boris Gulko;Russia;USA;;
Gunnar Gundersen;France;Norway;Australia;
Isidor Gunsberg;Hungary;England;;
Abhijeet Gupta;India;;;
Dmitry Gurevich;Russia;USA;;
Ilya Gurevich;Ukraine;USA;;
Mikhail Gurevich;Ukraine;Belgium;Turkey;
Bukhuti Gurgenidze;Georgia;;;
Jan Gustafsson;Germany;;;
Emanuel Guthi;Israel;;;
Lev Gutman;Latvia;Israel;Germany;
Fritz Gygli;Switzerland;;;
Alfred William Gyles;New Zealand;;;
Anna Hahn;Latvia;USA;;
Vitaly Halberstadt;Ukraine;France;;
Alexander Halprin;Russia;Austria;;
Tunc Hamarat;Turkey;Austria;;
Hichem Hamdouchi;Morocco;;;
Rani Hamid;Bangladesh;;;
Jon Ludvig Hammer;Norway;;;
Carl Hamppe;Switzerland;Austria;;
Milton Hanauer;USA;;;
James Hanham;USA;;;
Hermann von Hanneken;Germany;;;
Curt Hansen;Denmark;;;
Wilhelm Hanstein;Germany;;;
Khosro Harandi;Iran;;;
Dronavalli Harika;India;;;
Pendyala Harikrishna;India;;;
Max Harmonist;Germany;;;
Daniel Harrwitz;Germany;France;;
William Hartston;England;;;
Wolfgang Hasenfuss;Latvia;;;
Stewart Haslinger;England;;;
Arnaud Hauchard;France;;;
Cécile Haussernot;France;;;
Kornél Havasi;Hungary;;;
Mark Hebden;England;;;
Jean Hebert;Canada;;;
HansJoachim Hecht;Germany;;;
Jonny Hector;Sweden;;;
Fenny Heemskerk;Netherlands;;;
Wolfgang Heidenfeld;Germany;South Africa;Ireland;
Jakub Heilpern;Poland;;;
Herbert Heinicke;Brazil;Germany;;
Arved Heinrichsen;Lithuania;;;
Dan Heisman;USA;;;
Grigory Helbach;Russia;;;
Karl Helling;Germany;;;
Johan Hellsten;Sweden;;;
Hermann Helms;USA;;;
Ron Henley;USA;;;
Moriz Henneberger;Switzerland;;;
Walter Henneberger;Switzerland;;;
Deen Hergott;Canada;;;
Sigmund Herland;Romania;;;
Róża Herman;Poland;;;
Gilberto Hernández Guerrero;Mexico;;;
Tiger Hillarp Persson;Sweden;;;
Wilhelm Hilse;Germany;;;
Moshe Hirschbein;Poland;;;
Moses Hirschel;Germany;;;
Philipp Hirschfeld;Germany;;;
Jóhann Hjartarson;Iceland;;;
Hoang Thanh Trang;Vietnam;Hungary;;
Albert Hodges;USA;;;
Julian Hodgson;England;;;
Arnold van den Hoek;Netherlands;;;
Leopold Hoffer;Hungary;France;England;
Karl Holländer;Germany ;;;
Edith Holloway;England;;;
Krystyna HołujRadzikowska;Poland;;;
Walther von Holzhausen;Austria;Germany;;
Baldur Hönlinger;Austria;Germany;;
Bill Hook;USA;British Virgin Islands;;
Vlastimil Hort;Czechoslovakia;Germany;;
Israel Horowitz;USA;;;
Bernhard Horwitz;Germany;England;;
Henry Hosmer;USA;;;
Enamul Hossain;Bangladesh;;;
Hou Yifan;China;;;
Jovanka Houska;England;;;
Clarence Howell;USA;;;
David Howell;England;;;
Zbyněk Hráček;Czech Republic;;;
Karel Hromádka;Bohemia;Czechoslovakia;;
Vincenz Hruby;Bohemia;Austria;Italy;
Hsu Li Yang;Singapore;;;
Huang Qian;China;;;
Robert Hübner;Germany;;;
Werner Hug;Switzerland;;;
Krunoslav Hulak;Croatia;;;
Koneru Humpy;India;;;
Harriet Hunt;England;;;
Alexander Huzman;Ukraine;Israel;;
Ildar Ibragimov;Russia;USA;;
Bella Igla;Russia;Israel;;
Juan Iliesco;Romania;Argentina;;
Rolando Illa;USA;Cuba;Argentina;
Miguel Illescas Córdoba;Spain;;;
Alexander IlyinZhenevsky;Russia;;;
Ernesto Inarkiev;Kyrgyzstan;Russia;;
Viorel Iordachescu;Moldova;;;
Nana Ioseliani;Georgia;;;
Andrei Istrăţescu;Romania;;;
Saidali Iuldachev;Uzbekistan;;;
Vassily Ivanchuk;Ukraine;;;
Ivan Ivanišević;Serbia;;;
Alexander Ivanov;USA;;;
Igor Ivanov;Russia;Canada;USA;
Božidar Ivanović;Montenegro;;;
Borislav Ivkov;Serbia;;;
Stefan Izbinsky;Ukraine;;;
Zviad Izoria;Georgia;;;
Jana Jacková;Czech Republic;;;
Egil Jacobsen;Denmark;;;
Ernst Jacobson;Sweden;;;
Carl Jaenisch;Finland;Russia;;
Charles Jaffe;Russia;USA;;
Jerzy Jagielski;Poland;Germany;;
Dmitry Jakovenko;Russia;;;
Lora Jakovleva;Russia;;;
Dragoljub Janošević;Serbia;;;
Chaim Janowski;Poland;Germany;Japan;
Dawid Janowski;Poland;France;;
Vlastimil Jansa;Czech Republic;;;
Nicolai Jasnogrodsky;Ukraine;England;USA;
Carlos Jauregui;Chile;Canada;;
Florian Jenni;Switzerland;;;
Eleazar Jiménez;Cuba;;;
Baadur Jobava;Georgia;;;
Leif Erlend Johannessen;Norway;;;
Svein Johannessen;Norway;;;
Darryl Johansen;Australia;;;
Walter John;Poland;Germany;;
Hans Johner;Switzerland;;;
Paul Johner;Switzerland;;;
Gawain Jones;England;;;
Iolo Jones;Wales;;;
Paul Journoud;France;;;
Ju Wenjun;China;;;
Max Judd;Poland;USA;;
Klaus Junge;Chile;Germany;;
Otto Junge;Chile;Germany;;
Miervaldis Jursevskis;Latvia;Canada;;
Beata Kądziołka;Poland;;;
Bernhard Kagan;Poland;Germany;;
Shimon Kagan;Israel;;;
Victor Kahn;Russia;France;;
Gregory Kaidanov;Ukraine;Russia;USA;
Osmo Kaila;Finland;;;
Charles Kalme;Latvia;Germany;USA;
Gata Kamsky;Russia;USA;;
Ilya Kan;Russia;;;
Albert Kapengut;Belarus;;;
Julio Kaplan;Argentina;Puerto Rico;USA;
Darja Kapš;Slovenia;;;
Mona May Karff;Moldova;Russia;Palestine;USA
Sergey Karjakin;Ukraine;;;
Anastasiya Karlovich;Ukraine;;;
Anatoly Karpov;Russia;;;
Isaac Kashdan;USA;;;
Rustam Kasimdzhanov;Uzbekistan;;;
Garry Kasparov;Azerbaijan;Russia;;
Genrikh Kasparyan;Armenia;;;
Miroslav Katětov;Czechoslovakia;;;
Arthur Kaufmann;Romania;Austria;;
Lubomir Kavalek;Czechoslovakia;USA;;
Raymond Keene;England;;;
Hermann Keidanski;Poland;Germany;;
Dieter Keller;Switzerland;;;
Edith KellerHerrmann;Germany;;;
Rudolf Keller;Germany;;;
Brian Kelly;Ireland;;;
Emil Kemény;Hungary;USA;;
Edvīns Ķeņģis;Latvia;;;
Hugh Alexander Kennedy;Ireland;England;;
Paul Keres;Estonia;;;
Alexander Kevitz;USA;;;
Rohini Khadilkar;India;;;
Alexander Khalifman;Russia;;;
Mir Sultan Khan;India;Pakistan;;
Andrei Kharlov;Russia;;;
Murtas Kazhgaleyev;Kazakhstan;;;
Abram Khavin;Ukraine;;;
Igor Khenkin;Russia;Germany;;
Denis Khismatullin;Russia;;;
Ratmir Kholmov;Russia;Belarus;Lithuania;
Natalia Khoudgarian;Russia;Canada;;
Nino Khurtsidze;Georgia;;;
Feliks Kibbermann;Estonia;;;
Georg Kieninger;Germany;;;
Lionel Kieseritzky;Estonia;France;;
R.K. Kieseritzky;Estonia;Russia;e;
Daniel King;England;;;
Olof Kinnmark;Sweden;;;
Ove Kinnmark;Sweden;;;
Georg Klaus;Germany;;;
Jan Kleczyński;Poland;;;
Jan Kleczyński;Poland;;;
Ernst Klein;Austria;England;;
Paul Klein;Germany;Ecuador;;
